"Origin Station Complex Name","Destination Station Complex Name","Origin Station Complex ID","Destination Station Complex ID","Origin Point","Destination Point","avg_estimated_average_ridership"
"Hoyt-Schermerhorn Sts (A,C,G)","Wall St (4,5)","175","413","POINT (-73.985001 40.688484)","POINT (-74.011862 40.707557)","1.4048"
"36 Av (N,W)","25 St (R)","5","31","POINT (-73.929575 40.756804)","POINT (-73.998091 40.660397)","0.30075"
"50 St (1)","Dyckman St (A)","316","144","POINT (-73.983849 40.761728)","POINT (-73.927271 40.865491)","0.88856666667"
"137 St-City College (1)","Parkchester (6)","305","366","POINT (-73.953676 40.822008)","POINT (-73.860816 40.833226)","0.89435"
"75 St-Elderts Ln (J,Z)","Montrose Av (L)","85","124","POINT (-73.867139 40.691324)","POINT (-73.93985 40.707739)","0.60286666667"
"59 St-Columbus Circle (A,B,C,D,1)","Bedford Park Blvd (B,D)","614","211","POINT (-73.981833 40.768272)","POINT (-73.887138 40.873244)","4.71794"
"4 Av (F,G)/9 St (R)","Bergen St (F,G)","608","236","POINT (-73.989041 40.670559)","POINT (-73.990862 40.686145)","13.49934"
"Sheepshead Bay (B,Q)","74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)","54","616","POINT (-73.954155 40.586896)","POINT (-73.891366 40.746746)","1.90114"
"125 St (A,C,B,D)","14 St (A,C,E)/8 Av (L)","153","618","POINT (-73.952343 40.811109)","POINT (-74.002134 40.740335)","28.67994"
"Sheepshead Bay (B,Q)","Canal St (A,C,E)","54","169","POINT (-73.954155 40.586896)","POINT (-74.005229 40.720824)","1.7031"
"52 St (7)","Forest Av (M)","457","110","POINT (-73.912549 40.744149)","POINT (-73.903077 40.704423)","0.2777"
"Freeman St (2,5)","23 St (C,E)","429","165","POINT (-73.891865 40.829993)","POINT (-73.998041 40.745906)","0.612"
"46 St (M,R)","88 St (A)","270","191","POINT (-73.913333 40.756312)","POINT (-73.85147 40.679843)","1.1675"
"Eastern Pkwy-Brooklyn Museum (2,3)","Lexington Av (N,R,W)/59 St (4,5,6)","341","613","POINT (-73.964375 40.671987)","POINT (-73.967613 40.762593)","2.76924"
"Buhre Av (6)","207 St (1)","361","298","POINT (-73.832569 40.84681)","POINT (-73.918822 40.864621)","0.3135"
"Union St (R)","57 St (F)","28","224","POINT (-73.98311 40.677316)","POINT (-73.97745 40.763972)","1.72965"
"111 St (A)","90 St-Elmhurst Av (7)","194","452","POINT (-73.832163 40.684331)","POINT (-73.876613 40.748408)","0.3302"
"Smith-9 Sts (F,G)","Forest Av (M)","238","110","POINT (-73.995959 40.67358)","POINT (-73.903077 40.704423)","0.3113"
"Jackson Av (2,5)","Tremont Av (B,D)","433","215","POINT (-73.907807 40.81649)","POINT (-73.905227 40.85041)","0.811"
"23 St (C,E)","79 St (D)","165","65","POINT (-73.998041 40.745906)","POINT (-74.00061 40.613501)","0.2974"
"Hunters Point Av (7)","103 St-Corona Plaza (7)","463","450","POINT (-73.948916 40.742216)","POINT (-73.8627 40.749865)","0.3077"
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","96 St (Q)","619","475","POINT (-73.995432 40.725606)","POINT (-73.947152 40.784318)","1.823025"
"South Ferry (1)/Whitehall St (R,W)","34 St-Penn Station (A,C,E)","635","164","POINT (-74.013329 40.702578)","POINT (-73.993391 40.752287)","6.36094"
"Nassau Av (G)","21 St-Queensbridge (F)","284","221","POINT (-73.951277 40.724635)","POINT (-73.942836 40.754203)","0.28226666667"
"23 St (6)","Lexington Av (N,R,W)/59 St (4,5,6)","405","613","POINT (-73.986599 40.739864)","POINT (-73.967613 40.762593)","39.93424"
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","Van Siclen Av (C)","611","186","POINT (-73.987581 40.755746)","POINT (-73.890358 40.67271)","1.42096"
"Seneca Av (M)","103 St (6)","111","395","POINT (-73.90774 40.702762)","POINT (-73.947478 40.7906)","0.618"
"86 St (Q)","Bowery (J,Z)","476","103","POINT (-73.951787 40.777891)","POINT (-73.993915 40.72028)","0.29913333333"
"7 Av (B,Q)","Astoria Blvd (N,W)","41","2","POINT (-73.972367 40.67705)","POINT (-73.917843 40.770258)","0.5623"
"86 St (R)","Kingston Av (3)","38","344","POINT (-74.028398 40.622687)","POINT (-73.942161 40.669399)","0.56854"
"135 St (C,B)","Broad St (J,Z)","152","107","POINT (-73.947649 40.817894)","POINT (-74.011056 40.706476)","0.28656666667"
"Fordham Rd (4)","79 St (1)","382","312","POINT (-73.901034 40.862803)","POINT (-73.979917 40.783934)","0.74406666667"
"Grand Army Plaza (2,3)","14 St (A,C,E)/8 Av (L)","340","618","POINT (-73.971046 40.675235)","POINT (-74.002134 40.740335)","3.1591"
